;Priezvisko;Meno;Email;Stredná škola;Stredná škola (adresa);Bydlisko - ulica;PSÈ;Bydlisko - obec
1;Abrahám;Štefan;email1@gmail.com;Gymnázium Martina Kukuèína;Revúca, V. Clementisa 1166/21, 05001;Revúcka Lehota 1;4918;Revúcka Lehota
2;Adamec;Albert;email2@gmail.com;Stredná odborná škola strojnícka;Povaská Bystrica, Športovcov 341/2, 01749;Sládkovièova 1;1701;Povaská Bystrica
3;Andrášová;Adela;email3@gmail.com;Súkromná stredná odborná škola;Poprad, Ul. 29. augusta 4812, 05801;Tatranská Lomnica 1;5960;Tatranská Lomnica
4;Baran;Adrián;email4@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petralka, Hálova 16, 85101;Bartókova 1;81102;Bratislava
5;Bašková;Eunika;email5@gmail.com;Gymnázium arm. gen. Ludvíka Svobodu;Humenné, Komenského 4, 06601;Partizánska 1;6601;Humenné
6;Beòová;Ester;email6@gmail.com;Gymnázium Antona Bernoláka;Námestovo, Ulica mieru 307/23, 02901;Novo 1;2955;Novo
7;Bernolák;¼ubomír;email7@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petralka, Hálova 16, 85101;Wolkrova 1;85101;Bratislava - Petralka
8;Bernolák;Norbert;email8@gmail.com;Gymnázium;Myjava, Jablonská 5, 90701;Poriadie 1;90622;Poriadie
9;Bilek;Jozef;email9@gmail.com;Stredná priemyselná škola;Dubnica nad Váhom, Obrancov mieru 343/1, 01841;Neporadza 1;91326;Neporadza
10;Boreková;Iveta;email10@gmail.com;Stredná odborná škola polytechnická;Humenné, Štefánikova 1550/20, 06601;Puškinova 1;9303;Vranov nad Top¾ou
11;Bóriková;Enna;email11@gmail.com;Gymnázium;Vranov nad Top¾ou, Dr. C. Daxnera 88/3, 09380;Lúèna 1;9301;Vranov nad Top¾ou
12;Cesnaková;Natália;email12@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petralka, Hálova 16, 85101;Hostáï 1;93036;Èeèínska Potôò
13;Dávidová;Karina;email13@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petralka, Hálova 16, 85101;Dolná 1;90051;Zohor
14;Debnárová;Alana;email14@gmail.com;Spojená škola-Stredná odborná škola technická;Prešov, ¼. Podjavorinskej 22, 08005;L. Novomeského 1;8001;Prešov
